| Transportation | SOLOMON ISLANDS |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 3 |
| National air transport system: | annual passenger traffic on registered air carriers: 373,738 |
| National air transport system: | annual freight traffic on registered air carriers: 3,691,584 mt-km (2015) |
| Civil aircraft registration country code prefix: | H4 (2016) |
| Airports: | 36 (2013) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2013) |
| Airports - with unpaved runways: | total: 35 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 24 (2013) |
| Heliports: | 3 (2013) |
| Roadways: | total: 1,390 km |
| Roadways: | paved: 34 km |
| Roadways: | unpaved: 1,356 km |
| Roadways: | note: includes 920 km of private plantation roads (2011) |
| Ports and terminals: | major seaport(s): Honiara, Malloco Bay, Viru Harbor, Tulaghi |
