| Transportation | Azerbaijan |
| --- | --- |
| Airports: | 35 (2007) |
| Airports - with paved runways: | total: 27 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 6 |
| Airports - with paved runways: | 1,524 to 2,437 m: 13 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 2 (2007) |
| Airports - with unpaved runways: | total: 8 |
| Airports - with unpaved runways: | 914 to 1,523 m: 1 |
| Airports - with unpaved runways: | under 914 m: 7 (2007) |
| Heliports: | 1 (2007) |
| Pipelines: | gas 3,857 km; oil 2,436 km (2007) |
| Railways: | total: 2,122 km |
| Railways: | broad gauge: 2,122 km 1.520-m gauge (1,278 km electrified) (2006) |
| Roadways: | total: 59,141 km |
| Roadways: | paved: 29,210 km |
| Roadways: | unpaved: 29,931 km (2004) |
| Merchant marine: | total: 89 |
| Merchant marine: | by type: cargo 26, passenger 2, passenger/cargo 9, petroleum tanker 46, roll on/roll off 3, specialized tanker 3 |
| Merchant marine: | registered in other countries: 3 (Malta 2, Panama 1) (2008) |
| Ports and terminals: | Baku (Baki) |
