| Transportation | Venezuela |
| --- | --- |
| Airports: | 409 (2010) |
| Airports - with paved runways: | total: 129 |
| Airports - with paved runways: | over 3,047 m: 5 |
| Airports - with paved runways: | 2,438 to 3,047 m: 10 |
| Airports - with paved runways: | 1,524 to 2,437 m: 34 |
| Airports - with paved runways: | 914 to 1,523 m: 63 |
| Airports - with paved runways: | under 914 m: 17 (2010) |
| Airports - with unpaved runways: | total: 280 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 16 |
| Airports - with unpaved runways: | 914 to 1,523 m: 91 |
| Airports - with unpaved runways: | under 914 m: 172 (2010) |
| Heliports: | 4 (2010) |
| Pipelines: | extra heavy crude 980 km; gas 5,347 km; oil 6,694 km; refined products 1,620 km (2010) |
| Railways: | total: 806 km |
| Railways: | standard gauge: 806 km 1.435-m gauge (41 km electrified) (2010) |
| Roadways: | total: 96,155 km |
| Roadways: | paved: 32,308 km |
| Roadways: | unpaved: 63,847 km (2002) |
| Waterways: | 7,100 km (the Orinoco River (400 km) and Lake de Maracaibo are navigable by oceangoing vessels) (2010) |
| Merchant marine: | total: 59 |
| Merchant marine: | by type: bulk carrier 5, cargo 15, chemical tanker 5, liquefied gas 5, passenger 1, passenger/cargo 12, petroleum tanker 16 |
| Merchant marine: | foreign-owned: 10 (Denmark 1, Estonia 1, Germany 1, Greece 4, Mexico 1, Norway 1, Spain 1) |
| Merchant marine: | registered in other countries: 9 (Panama 8, Saint Vincent and the Grenadines 1) (2010) |
| Ports and terminals: | La Guaira, Maracaibo, Puerto Cabello, Punta Cardon |
| Ports and terminals: | oil terminals: Jose terminal |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the Caribbean Sea as a significant risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
